Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
53,30552,1,41,41,41,41.0,0.0,143,143,143.0,0.0,6022.518984,65.46216287,30552.0,0.0,30552,30552,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,32.73108143,32.73108143,41,143,75.0,58.88972746,3468.0,0,0,0,112.5,41,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,167235,11,1795,1368,0,163.1818181818,404.6751334544,661,0,133.1666666667,264.4106024097,15511.1071247048,101.6533620355,10452.1875,15890.7924418251,36580,3,167235,16723.5,21057.3884961497,52919,36,127339,25467.8,16800.0776545824,37291,3,364,200,65.7757048465,35.877657189,0,1368,144.1111111111,344.0820505582,118392.45751634,0,1,0,152.5882352941,1795,65535,383,6,32,0.0,0,0,0.0,0,0,Normal Traffic
42082,181,2,31,31,0,15.5,21.92031022,6,6,6.0,0.0,204419.8895,16574.58564,90.5,48.7903679,125,56,181,181.0,0.0,181,181,0,0.0,0.0,0,0,64,20,11049.72376,5524.861878,0,31,17.0,16.35033129,267.3333333,0,0,1,22.66666667,31,1071,0,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,5907695,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.677083025,1969231.667,3315777.317,5797433,39,5907695,2953847.5,4021437.18,5797433,110262,0,0.0,0.0,0,0,104,40,0.507812269,0.169270756,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,26847,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,31059,2,66,33,33,33.0,0.0,158,158,158.0,0.0,12299.17254,128.787147,10353.0,17886.03682,31006,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,40,64,64.39357352,64.39357352,33,158,83.0,68.46531969,4687.5,0,0,0,103.75,66,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
443,119181580,22,1687,541,0,76.68181818,124.0765456,1430,0,202.64,412.9068579,56.66144047,0.394356242,2590903.913,12000000.0,58800000,3,119000000,5675313.333,17500000.0,58800000,143,119000000,4956161.333,16500000.0,58800000,3,464,512,0.184592283,0.209763958,0,1430,140.6875,313.5581086,98318.6875,0,1,0,143.6808511,1687,8192,377,20,20,1174771.0,2114810,234732,58300000.0,58800000,57800000,Normal Traffic
51457,75,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,13333.33333,13333.33333,0,0,0.0,0.0,0.0,0,0,1,0.0,0,377,405,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,100170897,7,378,372,0,54.0,140.2426469,4344,0,1932.5,1754.831473,119.5257341,0.129778213,8347574.75,28900000.0,100000000,1,100000000,16700000.0,40800000.0,100000000,1,150687,30137.4,61259.6789,139393,14,220,200,0.069880576,0.059897637,0,4344,855.2142857,1459.806214,2131034.181,0,0,1,921.0,378,251,235,2,20,974.0,974,974,100000000.0,100000000,100000000,DoS
53,170,2,76,38,38,38.0,0.0,66,66,66.0,0.0,1223529.41176471,23529.4117647059,56.6666666667,92.0887253323,163,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,40,40,11764.7058823529,11764.7058823529,38,66,49.2,15.3362316101,235.2,0,0,0,61.5,76,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
80,5799108,3,12,6,0,4.0,3.464101615,0,0,0.0,0.0,2.069283759,0.689761253,1933036.0,3304032.461,5748091,72,5799108,2899554.0,4028439.658,5748091,51017,0,0.0,0.0,0,0,80,32,0.51732094,0.172440313,0,6,2.4,3.286335345,10.8,0,1,0,3.0,12,29200,17922,2,20,0.0,0,0,0.0,0,0,Normal Traffic
80,8499754,5,30,6,6,6.0,0.0,0,0,0.0,0.0,3.529513913,0.588252319,2124938.5,4249206.348,8498748,1,8499754,2124938.5,4249206.348,8498748,1,0,0.0,0.0,0,0,100,0,0.588252319,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,1006.0,1006,1006,8498748.0,8498748,8498748,DDoS
443,27400,3,65,53,6,21.6666666667,27.1354626519,0,0,0.0,0.0,2372.2627737226,109.4890510949,13700.0,19369.0689502619,27396,4,27400,13700.0,19369.0689502619,27396,4,0,0.0,0.0,0,0,60,0,109.4890510949,0.0,6,53,17.75,23.5,552.25,0,0,1,23.6666666667,65,256,-1,2,20,0.0,0,0,0.0,0,0,Normal Traffic
53,32647,2,88,44,44,44.0,0.0,172,172,172.0,0.0,13232.45627,122.5227433,10882.33333,18842.69207,32640,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,64,64,61.26137164,61.26137164,44,172,95.2,70.10848736,4915.2,0,0,0,119.0,88,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
36724,17,4,77,46,0,19.25,23.05609102,0,0,0.0,0.0,4529411.765,235294.1176,5.666666667,6.429100507,13,1,17,5.666666667,6.429100507,13,1,0,0.0,0.0,0,0,128,0,235294.1176,0.0,0,46,15.4,21.74396468,472.8,0,0,1,19.25,77,122,-1,2,32,0.0,0,0,0.0,0,0,Normal Traffic
80,98963434,8,369,363,0,46.125,128.0540483,4344,0,1656.428571,1757.579003,120.8931372,0.151571135,7068816.714,26400000.0,98800000,0,98800000,14100000.0,37300000.0,98800000,0,147178,24529.66667,53304.70463,132746,14,252,232,0.080837939,0.070733196,0,4344,747.75,1388.680837,1928434.467,0,0,1,797.6,369,274,235,2,20,1007.0,1007,1007,98800000.0,98800000,98800000,DoS
53,24196,1,51,51,51,51.0,0.0,135,135,135.0,0.0,7687.221028,82.65829063,24196.0,0.0,24196,24196,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,41.32914531,41.32914531,51,135,79.0,48.49742261,2352.0,0,0,0,118.5,51,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,754,2,72,36,36,36.0,0.0,123,123,123.0,0.0,421750.6631,5305.039788,251.3333333,429.2602163,747,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,64,64,2652.519894,2652.519894,36,123,70.8,47.6518625,2270.7,0,0,0,88.5,72,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
5006,4,2,12,6,6,6.0,0.0,0,0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,40,0,500000.0,0.0,6,6,6.0,0.0,0.0,0,0,1,9.0,12,364,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
55424,44,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,22727.27273,22727.27273,0,0,0.0,0.0,0.0,0,0,1,0.0,0,4969,37648,0,32,0.0,0,0,0.0,0,0,Normal Traffic
443,129,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15503.87597,129.0,0.0,129,129,129,129.0,0.0,129,129,0,0.0,0.0,0,0,40,0,15503.87597,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,16197,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,29392,2,68,34,34,34.0,0.0,79,79,79.0,0.0,7689.16712,136.0914535,9797.333333,16925.32677,29341,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,64,64,68.04572673,68.04572673,34,79,52.0,24.64751509,607.5,0,0,0,65.0,68,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,982,6,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6109.979633,196.4,435.8099356,976,1,982,196.4,435.8099356,976,1,0,0.0,0.0,0,0,192,0,6109.979633,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,274,-1,0,32,0.0,0,0,0.0,0,0,DoS
59885,101,1,6,6,6,6.0,0.0,6,6,6.0,0.0,118811.881188119,19801.9801980198,101.0,0.0,101,101,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,9900.9900990099,9900.9900990099,6,6,6.0,0.0,0.0,0,0,1,9.0,6,8192,254,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53136,3,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,179,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
35024,19,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105263.1579,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,52631.57895,52631.57895,0,0,0.0,0.0,0.0,0,0,1,0.0,0,122,259,0,32,0.0,0,0,0.0,0,0,Normal Traffic
443,3014,3,53,53,0,17.66666667,30.59956427,0,0,0.0,0.0,17584.60518,995.35501,1507.0,2077.479723,2976,38,3014,1507.0,2077.479723,2976,38,0,0.0,0.0,0,0,96,0,995.35501,0.0,0,53,13.25,26.5,702.25,0,0,1,17.66666667,53,246,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,104479668,11,553,283,0,50.27272727,102.2370685,3085,0,1249.666667,1178.780938,112.9406345,0.191424804,5498929.895,23700000.0,103000000,1,104000000,10400000.0,32700000.0,103000000,1,1033338,129167.25,354553.3164,1006389,51,244,204,0.105283642,0.086141162,0,3085,561.9047619,966.256845,933652.2905,0,1,0,590.0,553,8192,980,9,20,0.0,0,0,0.0,0,0,Normal Traffic
53,1688,2,84,42,42,42.0,0.0,80,80,80.0,0.0,144549.763,2369.668246,562.6666667,971.1052123,1684,0,0,0.0,0.0,0,0,4,4.0,0.0,4,4,80,80,1184.834123,1184.834123,42,80,57.2,20.81345719,433.2,0,0,0,71.5,84,-1,-1,1,40,0.0,0,0,0.0,0,0,Normal Traffic
53,29490,1,49,49,49,49.0,0.0,129,129,129.0,0.0,6035.944388,67.81959986,29490.0,0.0,29490,29490,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,33.90979993,33.90979993,49,129,75.66666667,46.18802154,2133.333333,0,0,0,113.5,49,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
